Location,Station,Date,Time,Temperature (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precipitation (in),Condition,Data Collection Source
"New York City, NY",Laguardia Airport Station,7/5/21,11:51 AM,74 °F,64 °F,71 %,NE,15 mph,0 mph,30.05 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,12:51 PM,74 °F,64 °F,71 %,NE,13 mph,0 mph,30.04 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,1:51 PM,77 °F,65 °F,66 %,NE,12 mph,0 mph,30.02 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,2:51 PM,81 °F,65 °F,58 %,S,12 mph,0 mph,30.01 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,3:51 PM,83 °F,61 °F,47 %,S,16 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,4:51 PM,82 °F,62 °F,51 %,S,15 mph,0 mph,29.99 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,5:51 PM,83 °F,62 °F,49 %,S,14 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,6:51 PM,82 °F,63 °F,52 %,S,12 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,7:51 PM,81 °F,65 °F,58 %,S,12 mph,0 mph,29.98 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,8:51 PM,80 °F,64 °F,58 %,S,9 mph,0 mph,29.98 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,9:51 PM,80 °F,65 °F,60 %,S,13 mph,0 mph,29.99 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,10:51 PM,80 °F,63 °F,56 %,SSW,15 mph,21 mph,29.99 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,11:51 PM,79 °F,63 °F,58 %,SSW,10 mph,0 mph,30.00 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,12:51 AM,78 °F,63 °F,60 %,SW,8 mph,0 mph,29.99 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,1:51 AM,78 °F,63 °F,60 %,SSW,9 mph,0 mph,29.98 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,2:51 AM,78 °F,62 °F,58 %,SW,13 mph,21 mph,29.98 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,3:51 AM,77 °F,63 °F,62 %,SW,10 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,4:51 AM,77 °F,63 °F,62 %,SW,12 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,5:51 AM,77 °F,64 °F,64 %,SW,10 mph,0 mph,29.97 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,6:51 AM,77 °F,65 °F,66 %,SSW,9 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,7:51 AM,78 °F,65 °F,64 %,SW,10 mph,0 mph,29.97 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,8:51 AM,80 °F,66 °F,62 %,WSW,16 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,9:51 AM,83 °F,67 °F,58 %,SW,12 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,10:51 AM,87 °F,68 °F,53 %,SW,13 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,11:51 AM,89 °F,68 °F,50 %,WSW,15 mph,0 mph,29.94 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,12:51 PM,91 °F,67 °F,45 %,WSW,16 mph,0 mph,29.92 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,1:51 PM,94 °F,66 °F,40 %,WSW,15 mph,22 mph,29.90 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,2:51 PM,96 °F,66 °F,37 %,SW,20 mph,25 mph,29.87 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,3:51 PM,96 °F,65 °F,36 %,WSW,16 mph,29 mph,29.86 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,4:51 PM,96 °F,65 °F,36 %,WSW,15 mph,24 mph,29.84 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,5:51 PM,95 °F,65 °F,37 %,WSW,14 mph,28 mph,29.83 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,6:31 PM,90 °F,62 °F,39 %,NW,32 mph,58 mph,29.91 in,0.0 in,Thunder / Windy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,6:51 PM,74 °F,65 °F,73 %,NW,21 mph,48 mph,29.91 in,0.0 in,T-Storm / Windy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,7:25 PM,75 °F,65 °F,71 %,NW,12 mph,0 mph,29.90 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,7:31 PM,75 °F,66 °F,73 %,NW,9 mph,0 mph,29.91 in,0.0 in,Light Rain with Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,7:51 PM,77 °F,67 °F,71 %,SW,8 mph,0 mph,29.94 in,0.0 in,Light Rain with Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,8:51 PM,77 °F,68 °F,74 %,S,5 mph,0 mph,29.93 in,0.1 in,Light Rain with Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,9:51 PM,75 °F,68 °F,79 %,SSW,9 mph,0 mph,29.94 in,0.0 in,Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,10:46 PM,75 °F,70 °F,83 %,SSW,13 mph,0 mph,29.93 in,0.1 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,10:51 PM,75 °F,69 °F,82 %,SSW,12 mph,0 mph,29.93 in,0.1 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/6/21,11:51 PM,74 °F,69 °F,85 %,SSW,9 mph,0 mph,29.94 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,12:51 AM,74 °F,67 °F,79 %,SW,12 mph,0 mph,29.95 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,1:51 AM,75 °F,68 °F,79 %,SW,3 mph,0 mph,29.94 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,2:51 AM,77 °F,67 °F,71 %,SW,5 mph,0 mph,29.93 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,3:51 AM,76 °F,67 °F,74 %,W,5 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,4:51 AM,75 °F,67 °F,76 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,5:51 AM,76 °F,68 °F,76 %,SW,7 mph,0 mph,29.93 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,6:51 AM,77 °F,68 °F,74 %,SW,6 mph,0 mph,29.94 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,7:51 AM,79 °F,68 °F,69 %,SW,7 mph,0 mph,29.94 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,8:51 AM,81 °F,69 °F,67 %,W,3 mph,0 mph,29.93 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,9:51 AM,83 °F,69 °F,63 %,NNW,5 mph,0 mph,29.93 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,10:51 AM,86 °F,69 °F,57 %,NW,5 mph,0 mph,29.94 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,11:51 AM,89 °F,68 °F,50 %,S,8 mph,0 mph,29.92 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,12:51 PM,91 °F,69 °F,48 %,VAR,6 mph,0 mph,29.91 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,1:51 PM,93 °F,67 °F,42 %,SSW,10 mph,18 mph,29.89 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,2:51 PM,94 °F,66 °F,40 %,W,8 mph,18 mph,29.88 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,3:51 PM,95 °F,63 °F,34 %,W,12 mph,25 mph,29.87 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,4:51 PM,95 °F,66 °F,38 %,SW,14 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,5:24 PM,92 °F,71 °F,50 %,SSE,12 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,5:51 PM,91 °F,71 °F,52 %,SSE,15 mph,0 mph,29.85 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,6:51 PM,91 °F,70 °F,50 %,S,12 mph,0 mph,29.85 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,7:51 PM,89 °F,70 °F,53 %,SE,6 mph,0 mph,29.87 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,8:51 PM,86 °F,70 °F,59 %,S,9 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,9:51 PM,85 °F,71 °F,63 %,SSE,9 mph,0 mph,29.90 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,10:51 PM,85 °F,72 °F,65 %,S,9 mph,0 mph,29.90 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/7/21,11:51 PM,86 °F,71 °F,61 %,SW,10 mph,0 mph,29.91 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,12:51 AM,85 °F,71 °F,63 %,SW,12 mph,0 mph,29.90 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,1:51 AM,84 °F,70 °F,63 %,SSW,7 mph,0 mph,29.90 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,2:25 AM,80 °F,66 °F,62 %,N,7 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,2:47 AM,81 °F,64 °F,58 %,NE,9 mph,0 mph,29.93 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,2:51 AM,79 °F,66 °F,64 %,NNE,8 mph,0 mph,29.93 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,3:51 AM,77 °F,65 °F,66 %,E,9 mph,0 mph,29.93 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,4:46 AM,75 °F,66 °F,73 %,ENE,6 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,4:51 AM,76 °F,66 °F,71 %,ENE,6 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,5:51 AM,75 °F,66 °F,73 %,NE,6 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,6:51 AM,74 °F,67 °F,79 %,NE,8 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,7:51 AM,75 °F,67 °F,76 %,ENE,9 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,8:51 AM,77 °F,68 °F,74 %,NE,12 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,9:51 AM,77 °F,68 °F,74 %,NE,12 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,10:51 AM,78 °F,69 °F,74 %,NE,15 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,11:51 AM,77 °F,69 °F,76 %,NE,14 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,12:51 PM,80 °F,69 °F,69 %,NE,13 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,1:51 PM,78 °F,69 °F,74 %,NE,15 mph,0 mph,29.94 in,0.0 in,Thunder in the Vicinity,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,1:56 PM,77 °F,69 °F,76 %,ENE,15 mph,0 mph,29.94 in,0.0 in,Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,2:51 PM,76 °F,68 °F,76 %,NE,16 mph,0 mph,29.94 in,0.0 in,Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,3:17 PM,76 °F,69 °F,79 %,NE,13 mph,26 mph,29.93 in,0.0 in,Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,3:51 PM,75 °F,68 °F,79 %,ENE,16 mph,0 mph,29.96 in,0.0 in,Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,4:23 PM,74 °F,69 °F,85 %,E,14 mph,0 mph,29.94 in,0.0 in,Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,4:51 PM,75 °F,69 °F,82 %,ENE,14 mph,0 mph,29.94 in,0.0 in,Light Rain with Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,5:05 PM,74 °F,69 °F,85 %,VAR,5 mph,0 mph,29.97 in,0.1 in,Heavy T-Storm,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,5:12 PM,73 °F,68 °F,84 %,ENE,14 mph,18 mph,29.94 in,0.5 in,Heavy T-Storm,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,5:26 PM,73 °F,69 °F,87 %,N,7 mph,0 mph,29.95 in,0.5 in,Heavy T-Storm,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,5:51 PM,73 °F,69 °F,87 %,E,12 mph,0 mph,29.94 in,0.9 in,Light Rain with Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,6:51 PM,75 °F,68 °F,79 %,ENE,7 mph,0 mph,29.94 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,7:16 PM,75 °F,69 °F,82 %,NNE,5 mph,0 mph,29.94 in,0.0 in,Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,7:51 PM,75 °F,69 °F,82 %,N,6 mph,0 mph,29.96 in,0.0 in,Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,8:28 PM,75 °F,68 °F,79 %,NNE,3 mph,0 mph,29.97 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,8:51 PM,74 °F,69 °F,85 %,NE,5 mph,0 mph,29.97 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,9:51 PM,75 °F,69 °F,82 %,N,7 mph,0 mph,29.98 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,10:37 PM,75 °F,69 °F,82 %,ENE,9 mph,0 mph,29.96 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,10:51 PM,74 °F,69 °F,85 %,ENE,10 mph,0 mph,29.96 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/8/21,11:51 PM,72 °F,68 °F,87 %,ENE,8 mph,0 mph,29.93 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,12:51 AM,74 °F,70 °F,87 %,ESE,8 mph,0 mph,29.92 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,12:58 AM,74 °F,70 °F,87 %,E,8 mph,0 mph,29.91 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,1:51 AM,73 °F,70 °F,90 %,NE,6 mph,0 mph,29.89 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,2:07 AM,73 °F,69 °F,87 %,NE,7 mph,0 mph,29.88 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,2:51 AM,73 °F,70 °F,90 %,NE,9 mph,0 mph,29.85 in,0.1 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,3:51 AM,73 °F,70 °F,90 %,NE,13 mph,0 mph,29.80 in,0.1 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,4:25 AM,72 °F,70 °F,93 %,NE,15 mph,0 mph,29.78 in,0.1 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,4:42 AM,73 °F,70 °F,90 %,ENE,16 mph,0 mph,29.77 in,0.1 in,Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,4:51 AM,73 °F,70 °F,90 %,ENE,14 mph,0 mph,29.76 in,0.1 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,5:19 AM,73 °F,69 °F,87 %,NE,14 mph,0 mph,29.75 in,0.1 in,Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,5:46 AM,73 °F,70 °F,88 %,NNE,13 mph,0 mph,29.72 in,0.2 in,Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,5:51 AM,73 °F,70 °F,90 %,NNE,15 mph,0 mph,29.72 in,0.2 in,Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,6:39 AM,73 °F,70 °F,90 %,NNE,12 mph,0 mph,29.69 in,0.3 in,Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,6:51 AM,73 °F,70 °F,90 %,ENE,16 mph,0 mph,29.69 in,0.4 in,Heavy Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,7:12 AM,73 °F,69 °F,87 %,NE,17 mph,0 mph,29.68 in,0.1 in,Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,7:44 AM,73 °F,69 °F,87 %,NNE,21 mph,28 mph,29.66 in,0.3 in,Rain / Windy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,7:51 AM,73 °F,69 °F,87 %,NNE,21 mph,28 mph,29.66 in,0.3 in,Rain / Windy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,8:04 AM,73 °F,69 °F,87 %,N,13 mph,24 mph,29.66 in,0.1 in,Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,8:51 AM,73 °F,69 °F,87 %,NNW,17 mph,28 mph,29.66 in,0.2 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,9:27 AM,73 °F,68 °F,84 %,NNW,22 mph,0 mph,29.69 in,0.0 in,Light Rain / Windy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,9:51 AM,73 °F,68 °F,84 %,NW,24 mph,33 mph,29.70 in,0.0 in,Light Rain / Windy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,10:37 AM,74 °F,67 °F,79 %,NNW,20 mph,31 mph,29.72 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,10:51 AM,74 °F,67 °F,79 %,NNW,17 mph,28 mph,29.73 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,11:51 AM,78 °F,66 °F,66 %,NNW,12 mph,0 mph,29.74 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,12:51 PM,80 °F,67 °F,64 %,NW,17 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,1:51 PM,82 °F,67 °F,60 %,NNW,10 mph,0 mph,29.79 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,2:51 PM,83 °F,65 °F,54 %,SW,5 mph,0 mph,29.79 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,3:51 PM,89 °F,65 °F,45 %,W,9 mph,0 mph,29.78 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,4:51 PM,87 °F,65 °F,48 %,SSW,14 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,5:51 PM,85 °F,68 °F,57 %,S,14 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,6:51 PM,84 °F,68 °F,58 %,S,13 mph,0 mph,29.79 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,7:51 PM,83 °F,68 °F,60 %,SSE,6 mph,0 mph,29.79 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,8:51 PM,84 °F,68 °F,58 %,S,5 mph,0 mph,29.82 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,9:46 PM,81 °F,68 °F,65 %,CALM,0 mph,0 mph,29.84 in,0.0 in,Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,9:51 PM,82 °F,69 °F,65 %,SSE,8 mph,0 mph,29.84 in,0.0 in,Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,10:23 PM,75 °F,68 °F,79 %,WSW,24 mph,28 mph,29.90 in,0.1 in,Heavy T-Storm / Windy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,10:40 PM,72 °F,67 °F,84 %,CALM,0 mph,0 mph,29.87 in,0.4 in,Heavy T-Storm,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,10:51 PM,73 °F,67 °F,81 %,CALM,0 mph,0 mph,29.86 in,0.4 in,Light Rain with Thunder,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,11:08 PM,73 °F,67 °F,81 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Light Rain,Weather Underground
"New York City, NY",Laguardia Airport Station,7/9/21,11:51 PM,73 °F,67 °F,81 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,12:51 AM,74 °F,68 °F,82 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,1:51 AM,74 °F,69 °F,85 %,CALM,0 mph,0 mph,29.85 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,2:51 AM,74 °F,69 °F,85 %,NW,3 mph,0 mph,29.86 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,3:51 AM,73 °F,68 °F,84 %,NNW,6 mph,0 mph,29.86 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,4:51 AM,74 °F,68 °F,82 %,N,7 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,5:31 AM,73 °F,65 °F,76 %,N,8 mph,20 mph,29.88 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,5:51 AM,72 °F,64 °F,76 %,NNE,10 mph,0 mph,29.88 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,6:51 AM,73 °F,64 °F,73 %,N,7 mph,0 mph,29.90 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,7:19 AM,73 °F,64 °F,73 %,N,8 mph,0 mph,29.91 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,7:51 AM,73 °F,63 °F,71 %,N,10 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,8:51 AM,75 °F,64 °F,69 %,NE,8 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,9:51 AM,75 °F,65 °F,71 %,NE,12 mph,0 mph,29.93 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,10:51 AM,76 °F,65 °F,69 %,NE,8 mph,0 mph,29.94 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,11:51 AM,76 °F,65 °F,69 %,ENE,8 mph,0 mph,29.96 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,12:51 PM,78 °F,64 °F,62 %,NE,9 mph,0 mph,29.97 in,0.0 in,Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,1:51 PM,78 °F,64 °F,62 %,NE,8 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,2:35 PM,78 °F,65 °F,64 %,NE,5 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,2:51 PM,78 °F,65 °F,64 %,ENE,8 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,3:51 PM,79 °F,65 °F,62 %,ENE,5 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/10/21,4:51 PM,80 °F,65 °F,60 %,ENE,5 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,Weather Underground
